province,overall_tier,recommendation_open,admission_status,admission_reason,official_file_count,segment_worst_2025,non_official_file_count
北京,L1_双验收,True,verified,,3,verified,3
天津,L4_仅结构真表,False,no_official_archive,,0,validated_structural,2
河北,L2_投档已验收_一分一段待加强,True,verified,,4,model_estimate,4
山西,L5_全未校验,False,no_official_archive,,0,model_estimate,4
内蒙古,L4_仅结构真表,False,no_official_archive,,0,validated_structural,4
辽宁,L4_仅一分一段可信,False,no_official_archive,,0,verified,4
吉林,L4_仅结构真表,False,no_official_archive,,0,validated_structural,3
黑龙江,L4_仅结构真表,False,no_official_archive,,0,validated_structural,2
上海,L2_投档已验收_一分一段待加强,True,verified,,2,validated_structural,3
江苏,L2_投档已验收_一分一段待加强,True,verified,,6,partially_verified,6
浙江,L2_投档已验收_一分一段待加强,True,verified,,2,validated_structural,3
安徽,L4_仅结构真表,False,no_official_archive,,0,validated_structural,2
福建,L4_仅结构真表,False,no_official_archive,,0,validated_structural,2
江西,L5_全未校验,False,no_official_archive,,0,model_estimate,2
山东,L2_投档已验收_一分一段待加强,True,verified,,3,validated_structural,3
河南,L4_仅结构真表,False,no_official_archive,,0,validated_structural,2
湖北,L5_全未校验,False,no_official_archive,,0,failed_validation,2
湖南,L2_投档已验收_一分一段待加强,True,verified,,4,validated_structural,4
广东,L5_全未校验,False,no_official_archive,,0,model_estimate,2
广西,L2_投档已验收_一分一段待加强,True,verified,,4,validated_structural,6
海南,L4_仅结构真表,False,no_official_archive,,0,validated_structural,1
重庆,L5_全未校验,False,no_official_archive,,0,failed_validation,2
四川,L2_投档已验收_一分一段待加强,True,verified,,2,validated_structural,4
贵州,L2_投档已验收_一分一段待加强,True,verified,,2,model_estimate,4
云南,L4_仅结构真表,False,no_official_archive,,0,validated_structural,2
西藏,L5_全未校验,False,no_official_archive,,0,model_estimate,2
陕西,L2_投档已验收_一分一段待加强,True,verified,,4,partially_verified,4
甘肃,L4_仅结构真表,False,no_official_archive,,0,validated_structural,2
青海,L4_仅结构真表,False,no_official_archive,,0,validated_structural,2
宁夏,L4_仅结构真表,False,no_official_archive,,0,validated_structural,2
新疆,L5_全未校验,False,no_official_archive,,0,model_estimate,2
